Frequency,EQ (db),EQ (deg),EQ mag,EQ Real,EQ Imagi,Calculated Admittance Magnitude,Calculated Admitance Real,Calculated Admitance Imagi,Calculated Impedance Magnitude,Calculated Impedance Real,Calculated Impedance Imagi,S11 mag linear
153587812.5,-32.456234,48.048183,0.0005680369671714235,0.00037973579171516854,0.0004224532217462225,0.000729002083162302,0.0006371519484490197,0.00035423358373055746,1371.7381926566652,1569.4843316955073,2822.9960284077274,0.9382707355688827
153588750.0,-32.458492,48.022816,0.0005677417080445264,0.00037972531092079397,0.00042206555805872456,0.0007290181034708741,0.0006372998677811013,0.0003540003866021347,1371.708048454454,1569.1200493759998,2824.8556720473644,0.9382568223855745
153589687.5,-32.461273,48.101025,0.0005673782716336165,0.0003789061261037321,0.00042231297721359763,0.0007281517372757305,0.0006361294022537141,0.00035432236182041495,1373.3401278988204,1572.007199254028,2822.2887058617002,0.9383667594423499
153590625.0,-32.428398,48.057860999999995,0.0005716894792426617,0.00038210569372085565,0.0004252341701966687,0.00073126146575292,0.0006390758472526963,0.0003554228365670354,1367.499925584595,1564.7594949783654,2813.550219954402,0.938090238842692
153591562.5,-32.455219,48.055969,0.0005681697399616098,0.00037976712638731954,0.00042260357679929894,0.000729024040982601,0.0006371300236946081,0.0003543181977227663,1371.6968766244927,1569.5383403864269,2822.3218745948884,0.9382728031200966
153592500.0,-32.456669,48.069031,0.0005679800740455491,0.00037954403214921563,0.0004225490411451701,0.0007287965034017792,0.0006368620445893654,0.00035433187766853935,1372.1251341524462,1570.1987714541508,2822.2129111833756,0.9382979662532475
153593437.5,-32.45639,48.175262,0.0005680165634640156,0.00037878427333029016,0.0004232792112153798,0.0007279587662669514,0.0006355674323368317,0.000354933802754357,1373.7041798783528,1573.3971709708846,2817.426777161828,0.9384195957765015
153594375.0,-32.427853000000006,47.852577000000004,0.0005717612255644854,0.0003836749463264717,0.00042391559846316284,0.0007329749711266129,0.0006416590423007274,0.00035429646023037327,1364.3030654415916,1558.4600762648154,2822.4950352305873,0.9378476510327243
153595312.5,-32.446178,48.028853999999995,0.0005693537690892771,0.00038075890622662334,0.0004233041101917997,0.0007300026323561189,0.0006381288446928669,0.00035453550008117597,1369.8580740352286,1567.0816455277186,2820.5920134120156,0.9381790484665371
153596250.0,-32.468002,47.976452,0.0005664998510366505,0.0003792353801319254,0.0004208356064792299,0.0007285960393802181,0.0006371750263100936,0.0003533555920701865,1372.5026570974119,1569.4274864961997,2830.010398707293,0.9382684757427776
153597187.5,-32.456551,48.079128000000004,0.0005679955065601321,0.0003794798726927109,0.0004226274029137545,0.0007287245909217049,0.0006367458220714914,0.0003543928434499022,1372.2605391087197,1570.4853731851008,2821.7274092369257,0.9383088855389212
153598125.0,-32.432533,48.143390999999994,0.000571145421908735,0.0003811074546831012,0.000425398872767988,0.0007302185694056124,0.0006377104565840533,0.0003557309835650213,1369.452985582092,1568.1097740761213,2811.113021357662,0.9382184563391949
153599062.5,-32.448147,48.305465999999996,0.0005690956945512718,0.0003785391928466634,0.00042494468938414923,0.0007275922784029543,0.0006345543970009086,0.0003559933157215391,1374.3961139815465,1575.9090232867272,2809.041506785504,0.9385148439544208
153600000.0,-32.460087,47.993221000000005,0.0005675332361906166,0.0003798037566317868,0.00042171445390142454,0.0007291239591497475,0.000637548458453943,0.00035377070388770674,1371.5089011285938,1568.5082235552777,2826.6896863156267,0.9382334577755869
153600937.5,-32.448738,48.096534999999996,0.0005690182556968099,0.00038003452818240635,0.00042350387566752665,0.000729238974795163,0.0006371032191202089,0.0003548083574931224,1371.2925866049486,1569.6043749094908,2818.4229003663872,0.9382753719021939
153601875.0,-32.442684,48.008488,0.0005698120117321563,0.0003812159209304065,0.00042350932733935053,0.0007304612860820059,0.0006386375057540072,0.00035456427725996133,1368.9979456183446,1565.8334986438829,2820.3630882611856,0.9381312976408646
153602812.5,-32.4594,47.870205,0.0005676230200099925,0.0003807685440008553,0.00042096461697479175,0.0007301768746024335,0.0006391165568080232,0.000353112298027178,1369.5311845427586,1564.65982510977,2831.9602732245617,0.9380861715101241
153603750.0,-32.440777000000004,48.136692,0.0005700622728241453,0.00038043434376176555,0.00042454764748374837,0.0007295809796768704,0.0006371890911684165,0.00035535681786372036,1370.649767271753,1569.3928440712875,2814.072925381442,0.9382673674361705
153604687.5,-32.437622,47.962315000000004,0.0005704765539156694,0.0003820020811771203,0.0004236955375547947,0.0007312615939562158,0.0006395813012449337,0.0003545127330480851,1367.4996858372886,1563.522882944698,2820.7731536242527,0.9380426934100229
153605625.0,-32.417927,48.290318,0.0005730695066242896,0.00038129552929331846,0.0004278111484797174,0.0007302498418576037,0.0006369538478003974,0.0003571479067631835,1369.394339690931,1569.9724610398628,2799.9604115363795,0.9382896461626218
153606562.5,-32.460091,47.967789,0.0005675327134734298,0.0003799905565214741,0.0004215454398009952,0.0007293296098976786,0.0006378623113368959,0.000353628833170392,1371.122173608576,1567.736456954322,2827.823712887578,0.9382039757734885
153607500.0,-32.420696,48.053108,0.0005727042420935481,0.00038281927751209355,0.0004259572157823647,0.0007319485767211386,0.0006397016919416202,0.00035571120911650903,1366.2161957874603,1563.2286307775796,2811.269294784753,0.9380315201942542
153608437.5,-32.414660999999995,48.096066,0.0005735006309015627,0.00038303169995446596,0.00042683684292066723,0.0007321071517431312,0.0006396121411212433,0.0003561982461547763,1365.9202722156474,1563.4474953008162,2807.4253896395576,0.9380399783905871
153609375.0,-32.43148,47.988037,0.0005712839198797128,0.00038235219006949245,0.00042446686544675405,0.0007315696962861793,0.0006397149742416304,0.0003549069909924046,1366.9237600689446,1563.1961737107692,2817.6396221549803,0.9380301875385081
153610312.5,-32.433861,47.952003000000005,0.0005709708018759499,0.00038240935502330297,0.0004239937992300438,0.0007316615905157449,0.0006399856415957563,0.0003546083213734526,1366.752079052154,1562.5350554843308,2820.0127851677203,0.9380047486480803
153611250.0,-32.422062,48.261345,0.000572524135965481,0.0003811487418625395,0.000427211332761227,0.0007301383576639865,0.0006370115480978986,0.0003568169123264507,1369.6034313269229,1569.8302534482714,2802.5577416720175,0.9382841930972852
153612187.5,-32.459022999999995,48.074104,0.0005676722960601992,0.00037930097025971296,0.0004223536547424431,0.0007285580812592427,0.0006366268314385316,0.0003542642449650893,1372.5741649472832,1570.7789094285972,2822.751700777887,0.9383200447739897
153613125.0,-32.425216999999996,48.132721000000004,0.0005721083679162189,0.00038182934594347285,0.00042604499200922356,0.0007309204094887167,0.0006383802893796208,0.00035597085714808894,1368.1380175161698,1566.4644047387521,2809.218732150272,0.938155595065593
153614062.5,-32.429176,48.023003,0.0005715870753215745,0.0003822958388363085,0.0004249254949789605,0.00073147940154575,0.0006394510149814687,0.000355196444696309,1367.0924948628995,1563.8414461332586,2815.3434949355824,0.9380549964128082
153615000.0,-32.437481,47.872261,0.0005704950755647401,0.00038267997183727637,0.00042310834356963444,0.000732003794219146,0.0006407052111408767,0.00035401467083745334,1366.1131375237403,1560.7801881607022,2824.74169116893,0.9379371439057428
153615937.5,-32.39867,48.122440000000005,0.0005756161892468842,0.0003842474026944327,0.00042858829994026575,0.0007332400111177207,0.0006404615379412245,0.0003570013057705486,1363.809918768128,1561.3740103965004,2801.110202780935,0.9379603348372019
153616875.0,-32.414004999999996,48.046356,0.0005735872644750121,0.0003834597978136977,0.0004265687909688254,0.000732567208800482,0.000640278328049078,0.00035594715624711275,1365.0624652411304,1561.8207835442292,2809.405785238975,0.9379774184846423
153617812.5,-32.412552000000005,48.038506,0.0005737791991559216,0.000383646571180592,0.0004266589713171232,0.000732753373464862,0.0006404827626086112,0.00035596255017259436,1364.7156549705785,1561.3222687322875,2809.284289920761,0.9379582312591466
153618750.0,-32.414103999999995,48.001202,0.0005735741893625417,0.00038378710282490063,0.00042625674236094606,0.0007329262159562593,0.0006408317138576745,0.0003556902480392131,1364.393820591184,1560.47208397382,2811.4349648679568,0.9379254493109859
153619687.5,-32.399899,47.986794,0.0005754533199869291,0.0003851519858596259,0.00042755639542914743,0.0007342425510951016,0.0006420594046735107,0.00035619074203148497,1361.9477630498652,1557.4882833598604,2807.484535663778,0.9378102799199179
153620625.0,-32.409958,48.060444,0.0005741220144326061,0.00038371229877408563,0.00042706083785060464,0.0007327936571557262,0.0006404015010717154,0.00035619160769557415,1364.64063278251,1561.520387329659,2807.4777125424835,0.9379658832089346
153621562.5,-32.393673,47.875362,0.0005762788754244652,0.0003865365299339881,0.00042741882654730753,0.0007356769746982067,0.0006439046305929003,0.0003558193893004239,1359.2922361206497,1553.025017197362,2810.4145813023256,0.9376370849274446
153622500.0,-32.395355,47.963211,0.0005760557288199288,0.0003857313134213177,0.0004278452483696933,0.0007348184640429265,0.0006426882217657052,0.00035624433287007024,1360.8803383873355,1555.9644103211126,2807.06219785599,0.9377512743405813
153623437.5,-32.407928000000005,48.119808,0.0005743904360139417,0.000383448807923214,0.0004276580230587895,0.0007324809211057389,0.0006398123768676369,0.0003566068173645822,1365.2232722873102,1562.9581986140258,2804.208869001053,0.9380212261797529
153624375.0,-32.420196999999995,47.916942999999996,0.0005727700490165529,0.0003838745988421336,0.00042509507338266736,0.0007330978114394381,0.0006414274131354266,0.000354969399830026,1364.0744582724906,1559.0228598303872,2817.1442396973976,0.9378694619739518
153625312.5,-32.41135,48.109619,0.0005739380264210409,0.0003832227756507703,0.00042725304258085605,0.0007322755815811316,0.0006396872094735262,0.0003564095978168344,1365.6060985138915,1563.2640221507909,2805.760580313886,0.938032954367221
153626250.0,-32.371615999999996,48.160866,0.0005792131324199887,0.00038635918950387626,0.0004315256996445092,0.0007352108687246653,0.0006419777817388714,0.000358328828374881,1360.1539946419068,1557.6863069799454,2790.7327594468825,0.9378181703567561
153627187.5,-32.390152,47.99794,0.0005767462773268187,0.00038593399602083014,0.0004285921360988061,0.0007349753015747574,0.0006426410833214988,0.0003566526769172999,1360.589937998462,1556.078542055679,2803.8482947707653,0.9377557418438287
153628125.0,-32.388317,47.926682,0.0005769900181707573,0.00038663005787020115,0.00042829274967010094,0.0007357116882090785,0.0006436634081402575,0.0003563272445221114,1359.2280998474698,1553.6070364622854,2806.409039368154,0.937659774019191
153629062.5,-32.408778999999996,48.041462,0.0005742778952394795,0.0003839579830479495,0.0004270496086105655,0.0007330476333956204,0.0006407243510593189,0.000356133596823628,1364.1678309058907,1560.7335640462009,2807.935024718381,0.9379355738196347
153630000.0,-32.382442,48.089306,0.0005777710804110439,0.0003859345957367296,0.0004299696607586075,0.0007348807848307515,0.0006420719984207003,0.00035748191109133,1360.7649303693624,1557.4577344280588,2797.344338199307,0.9378092369361081
153630937.5,-32.396507,48.12281,0.000575902945807401,0.0003844360553643682,0.00042880429373494703,0.0007334194366633279,0.0006406163354095482,0.0003570921182020047,1363.4762729352706,1560.9967225713915,2800.397849818423,0.9379458150613689
153631875.0,-32.389271,47.909264,0.0005768632866447722,0.00038667529263553343,0.0004280811483163364,0.0007357733933935846,0.0006438096595067037,0.0003561904108082823,1359.114109016271,1553.2541104869638,2807.4871463573595,0.937646036139288
153632812.5,-32.399101,47.938286,0.0005755590671148101,0.0003855846706670456,0.00042730867237239224,0.0007347051216050155,0.000642721134514413,0.0003559510625930851,1361.0902804317316,1555.8847318059914,2809.374953722716,0.9377481542264798
153633750.0,-32.381836,48.020416,0.0005778517062809056,0.0003865052217000765,0.0004295652547056486,0.0007354952609744332,0.0006429762690209957,0.00035712014279747615,1359.6280670457797,1555.2673530589448,2800.1780917944543,0.9377243380574393
153634687.5,-32.400253,47.91087,0.0005754064158282037,0.00038568677349339975,0.0004270108384204207,0.0007348311012081401,0.0006429764694883357,0.0003557499219776208,1360.8569348192996,1555.2668681573598,2810.9633712383693,0.9377241717998177
153635625.0,-32.370777000000004,47.958046,0.0005793250396124357,0.00038795925484581714,0.00043023844330955426,0.0007369413666841776,0.0006445728465545649,0.00035722321231253836,1356.9600584364514,1551.4150267813789,2799.3701571808538,0.9375745389382615
153636562.5,-32.363102000000005,47.839931,0.0005803497477364549,0.0003895331528621345,0.00043019734136678684,0.000738558495438981,0.0006466151544693223,0.0003568718161969441,1353.988893466894,1546.514944922225,2802.1265749048043,0.937382900570839
153637500.0,-32.35944,47.848408,0.000580839308881091,0.0003897980420026432,0.0004306179155497006,0.0007388005386365935,0.0006467822226951911,0.0003570700103553767,1353.5453044544777,1546.1154696443623,2800.5712353292915,0.9373672501148594
153638437.5,-32.358261,47.757042,0.0005809970135115629,0.0003905902466064476,0.00043011253058388067,0.0007396479734369571,0.0006480080883956636,0.00035660151707921165,1351.9945107849792,1543.1906142958755,2804.2505488777006,0.9372522140090656
153639375.0,-32.380897999999995,47.90535,0.0005779765256054052,0.00038745080279441874,0.0004288807987831305,0.0007365143022888048,0.0006444788855473958,0.0003565112670864015,1357.7468854201234,1551.641213428797,2804.9604383405003,0.9375832779841844
153640312.5,-32.341190000000005,47.702549,0.000583285257766363,0.00039253908401192634,0.00043143337776608144,0.0007415481797634504,0.0006499615424219251,0.00035699257174764656,1348.5300446951326,1538.552567700761,2801.178733508458,0.9370690521279083
